r0286	3.1.1.45	C04431	C02222	R03893
r0286	3.1.1.45	C12838	C02222	R06838
r0279	3.1.1.45	C04729	C06329
r0279	3.1.1.45	C04729	C16249
r0279	3.1.1.45	C04706	C06329	R05511
r0279	3.1.1.45	C04706	C16249
r0283	1.13.11.1	C16473	C16474	R08115
r0283	1.13.11.1	C16473	C03585
r0283	1.13.11.1	C14843	C16474
r0283	1.13.11.1	C14843	C03585
r0283	1.13.11.1	C02375	C16474
r0283	1.13.11.1	C02375	C03585	R04258
r0284	5.5.1.1	C16474	C07090
r0284	5.5.1.1	C03585	C07090	R05390
r0285	5.5.1.7	C16474	C04431
r0285	5.5.1.7	C16474	C12838
r0285	5.5.1.7	C03585	C04431	R05391
r0285	5.5.1.7	C03585	C12838
r0287	1.13.11.2	C16473	C07089
r0287	1.13.11.2	C14843	C07089
r0287	1.13.11.2	C02375	C07089	R05406
r0098	1.3.1.32	C06329	C02222	R05355
r0098	1.3.1.32	C16249	C02222	R07781
r0276	1.13.11.-	C21852	C03918
r0276	1.13.11.-	C02933	C03918	R05407
r0277	5.5.1.11	C03918	C04729	R05393
r0277	5.5.1.11	C03918	C04706
r0278	5.2.1.-	C04729	C04729
r0278	5.2.1.-	C04729	C04706
r0278	5.2.1.-	C04706	C04729
r0278	5.2.1.-	C04706	C04706
r0281	1.14.-.-	C07088	C00048
r0282	1.14.13.20	C16485	C16473
r0282	1.14.13.20	C16485	C14843
r0282	1.14.13.20	C16485	C02375
r0282	1.14.13.20	C14453	C16473
r0282	1.14.13.20	C14453	C14843
r0282	1.14.13.20	C14453	C02375
r0282	1.14.13.20	C02124	C16473
r0282	1.14.13.20	C02124	C14843
r0282	1.14.13.20	C02124	C02375	R05441
r0099	1.3.1.32	C02222	C00846	R02988	R02989
r0274	1.14.11.-	C03664	C00048	R05419
r0275	1.14.13.20	C02625	C21852
r0275	1.14.13.20	C02625	C02933	R03997
r0275	1.14.13.20	C14521	C21852
r0275	1.14.13.20	C14521	C02933
r0280	1.97.1.-	C03664	C07088	R05505
r0404	3.1.1.45	C07090	C07091	R05510
